"phenx","icd10_desc","combo","organ","subcombo"
"Other nervous system disorders","Other specified degenerative diseases of nervous system","Nervous System Disorders","Neurology",NA
"Other nervous system disorders","Paraneoplastic neuromyopathy and neuropathy","Nervous System Disorders","Neurology",NA
"Other nervous system disorders","Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]","Nervous System Disorders","Neurology",NA
"Other nervous system disorders","Secondary parkinsonism, unspecified","Nervous System Disorders","Neurology",NA
"Other nervous system disorders","Stiff-man syndrome","Nervous System Disorders","Neurology",NA
"Polyneuropathies","Radiation-induced polyneuropathy","Polyneuropathies","Neurology",NA
"Headache; including migraine","Cervicogenic headache","Headache","Neurology",NA
"Headache; including migraine","Headache associated with sexual activity","Headache","Neurology",NA
"Headache; including migraine","Headache with orthostatic component, not elsewhere classified","Headache","Neurology",NA
"Headache; including migraine","Headache, unspecified","Headache","Neurology",NA
"Headache; including migraine","Primary exertional headache","Headache","Neurology",NA
"Nervous system pain and pain syndromes","Complex regional pain syndrome I of left lower limb","Pain syndrome","Neurology",NA
"Nervous system pain and pain syndromes","Complex regional pain syndrome I of other specified site","Pain syndrome","Neurology",NA
"Nervous system pain and pain syndromes","Complex regional pain syndrome I of unspecified lower limb","Pain syndrome","Neurology",NA
"Nervous system pain and pain syndromes","Complex regional pain syndrome I, unspecified","Pain syndrome","Neurology",NA
"Nervous system signs and symptoms","Coma scale, best motor response, localizes pain, at arrival to emergency department","Nervous system s/s","Neurology","Abnormal Cognition"
"Nervous system signs and symptoms","Coma scale, best verbal response, none, at arrival to emergency department","Nervous system s/s","Neurology","Abnormal Cognition"
"Nervous system signs and symptoms","Glasgow coma scale score 3-8, unspecified time","Nervous system s/s","Neurology","Abnormal Cognition"
"Nervous system signs and symptoms","Psychomotor deficit","Nervous system s/s","Neurology","Abnormal Gait"
"Other nervous system disorders","Cerebellar ataxia in diseases classified elsewhere","Nervous System Disorders","Neurology",NA
"Other nervous system disorders","Cerebrospinal fluid leak, unspecified","Nervous System Disorders","Neurology",NA
"Other nervous system disorders","Disorder of central nervous system, unspecified","Nervous System Disorders","Neurology",NA
"Other nervous system disorders","Meningeal adhesions (cerebral) (spinal)","Nervous System Disorders","Neurology",NA
